Product Code,Product Name,Brand Name,Description,Image URLs,Rent,Deposit,Quantity,Price Type,Minimum Rental Period,Extra Rent
0108,0108 - RED SATIN TAIL GOWN - Rs.2200/-,DOR,0108 - RED SATIN TAIL GOWN - Rs.2200/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2FWhatsApp%20Image%202025-02-15%20at%2016.56.04%20(3).jpeg?alt=media&token=7aa76b9e-27a3-4fb8-8755-c7da07eb1e36,2200,2200,1,daily,3,220
0109,0109 - MARRON SATIN TAIL GOWN - Rs. 2200/-,DOR,0109 - MARRON SATIN TAIL GOWN - Rs. 2200/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2FWhatsApp%20Image%202025-02-15%20at%2016.56.04%20(1).jpeg?alt=media&token=e91b5d64-937f-4efd-88a1-c98bcec57a8e,2200,2200,1,daily,3,220
0110,0110 - BLOOD RED SLEEVES SATIN TAIL GOWN - Rs. 2200/-,DOR,0110 - BLOOD RED SLEEVES SATIN TAIL GOWN - Rs. 2200/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2FWhatsApp%20Image%202025-02-15%20at%2016.56.04%20(4).jpeg?alt=media&token=78c61d05-655e-4bc9-9239-2436d04e47c6,2200,2200,1,daily,3,220
0111,0111- LAVENDER SATIN TAIL GOWN - Rs.2200/-,DOR,0111- LAVENDER SATINE TAIL GOWN - Rs.2200/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2FWhatsApp%20Image%202025-02-15%20at%2016.56.04%20(2).jpeg?alt=media&token=98412b9a-561e-44d4-a41a-35844b71f59f,2200,2200,1,daily,3,220
0112,0112- TURQUOISE GREEN SATIN TAIL GOWN - Rs. 2200/-,DOR,0112- TURQUOISE GREEN SATIN TAIL GOWN - Rs. 2200/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2FWhatsApp%20Image%202025-02-15%20at%2016.56.04.jpeg?alt=media&token=2e329fbe-daa1-478a-b3c4-2e8bc71f0a81,2200,2200,1,daily,3,220
0113,0113 -  OFF WHITE & BLUE SOUTH INDIAN LEHENGA - Rs. 1500/-,DOR,0113 -  OFF WHITE & BLUE SOUTH INDIAN LEHENGA - Rs. 1500/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F4444%2FIMG-20250516-WA0063.jpg?alt=media&token=3bc75639-c5e3-4789-b9f1-cd75fe8add44,1500,1500,1,daily,3,150
0114,0114 - SOUTH INDIAN PISTA GREEN LEHENGA - Rs. 1500/-,DOR,0114 - SOUTH INDIAN PISTA GREEN LEHENGA - Rs. 1500/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F4444%2FIMG-20250516-WA0065.jpg?alt=media&token=edb3308a-cd11-4d39-a1a1-5026188fe1d6,1500,1500,1,daily,3,150
0115,0115 - BLACK SEQUIN LEHENGA - Rs.1500/-,DOR,0115 - BLACK SEQUIN LEHENGA - Rs.1500/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F4444%2FIMG-20250516-WA0064.jpg?alt=media&token=54ab21d8-6c46-4207-a416-6925f8632177,1500,1500,1,daily,3,150
0116,0116 - LILAC LEHENGA - Rs. 1500/-,DOR,0116 - LILAC LEHENGA - Rs. 1500/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F4444%2FIMG-20250516-WA0066.jpg?alt=media&token=609b7ea1-1958-4e1d-b8ee-485bb01476fa,1500,1500,1,daily,3,150
0117,0117 - PISTA GREEN NET LEHENGA - Rs.1500/-,DOR,0117 - PISTA GREEN NET LEHENGA - Rs.1500/-,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F4444%2FIMG-20250516-WA0067.jpg?alt=media&token=50d90e31-9966-4946-8e9a-5a2eab61f59c,1500,1500,1,daily,3,150
