Product Code,Product Name,Brand Name,Description,Image URLs,Rent,Deposit,Quantity,Price Type,Minimum Rental Period,Extra Rent,branchCode
1,LAVENDER SATIN BOW GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0001.jpg?alt=media&token=02fbd5bd-a021-4881-b48c-c1cde9f4d9e0,1000,1000,1,daily,3,-,1999
10,LAVENDER BOW V NECK NET GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0010.jpg?alt=media&token=944a7fdf-6a14-436d-ab72-f3cbad3fc9ed,1000,1000,1,daily,3,-,1999
100,NAVY BLUE STONE HALF SLEEVES BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0100.jpg?alt=media&token=5df83823-0b2d-40fb-a66f-b94daf323336,3000,3000,1,daily,3,-,1999
101,GOLDEN STONE HALF SLEEVES BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0101.jpg?alt=media&token=1fe4609c-0173-4451-b9f4-9484df5fb68e,3000,3000,1,daily,3,-,1999
102,GRAY STONE HALF SLEEVES BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0102.jpg?alt=media&token=50318d97-07e8-4042-89eb-d24818bdd794,3000,3000,1,daily,3,-,1999
103,RED BUTTERFLY STONE BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0103.jpg?alt=media&token=e1f57b8b-176f-4de8-bfbb-458afea35e74,4000,4000,1,daily,3,-,1999
104,LIGHT PINK BUTTERFLY STONE BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0104.jpg?alt=media&token=e24fa7f9-3361-4406-9a91-852e92ef1864,4000,4000,1,daily,3,-,1999
105,RED SLEEVES FLORAL BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0105.jpg?alt=media&token=9b396f53-d73d-4fb6-8e0c-ccf4a8b68a3e,1500,1500,1,daily,3,-,1999
106,SKY BLUE BOAT NECK STONE BALL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0106.jpg?alt=media&token=ba84525e-fdbc-4027-9282-573e1626845b,1500,1500,1,daily,3,-,1999
107,SKY BLUE GLITTER NET TAIL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0107.jpg?alt=media&token=51e999f2-6cc6-47e2-ac6a-f0e8d292d765,4000,4000,1,daily,3,-,1999
108,RED GLITTER NET TAIL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0108.jpg?alt=media&token=526ee567-b509-4116-a1c6-9ce9a470d496,4000,4000,1,daily,3,-,1999
109,PISTA GREEN GLITTER NET TAIL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0109.jpg?alt=media&token=4ac3e015-e36d-4524-80f2-40c208a27823,4000,4000,1,daily,3,-,1999
11,WHITE BOW V NECK NET GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0011.jpg?alt=media&token=51204e45-e9e3-462e-b134-2c4e0cf135dd,1000,1000,1,daily,3,-,1999
110,SKY BLUE FRILL TAIL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0110.jpg?alt=media&token=bee488dc-f2a8-42db-aaf8-22bbd6acb95e,5000,5000,1,daily,3,-,1999
111,BLACK FRILL TAIL GOWN,dor,n/a,https://firebasestorage.googleapis.com/v0/b/renting-wala-27d06.appspot.com/o/products%2F1999%2F0111.jpg?alt=media&token=906649cf-a915-457d-a385-77dffb5feb3e,5000,5000,1,daily,3,-,1999
